File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3846ms, 81.40% of 4725ms total
Dropped 609 nodes (cum <= 23.62ms)
      flat  flat%   sum%        cum   cum%
      11ms  0.23% 68.53%       43ms  0.91%  vtkIdList::~vtkIdList
      31ms  0.66% 69.19%       43ms  0.91%  vtkObject::ObjectFinalize
      41ms  0.87% 70.05%       41ms  0.87%  [libstdc++.so.6.0.33]
      35ms  0.74% 70.79%       41ms  0.87%  std::num_put::do_put
      13ms  0.28% 71.07%       40ms  0.85%  _int_free_merge_chunk
       6ms  0.13% 71.20%       40ms  0.85%  vtkSOADataArrayTemplate::FillTypedComponent
         0     0% 71.20%       37ms  0.78%  _dl_init
         0     0% 71.20%       37ms  0.78%  call_init (inline)
      37ms  0.78% 71.98%       37ms  0.78%  vtkObjectBase::~vtkObjectBase
         0     0% 71.98%       36ms  0.76%  CxxTest::RealWorldDescription::setUp
         0     0% 71.98%       36ms  0.76%  PMPI_Init_thread
         0     0% 71.98%       36ms  0.76%  PetscInitialize
         0     0% 71.98%       36ms  0.76%  PetscSetup::setUpWorld
         0     0% 71.98%       36ms  0.76%  PetscSetupUtils::CommonSetup
         0     0% 71.98%       36ms  0.76%  PetscSetupUtils::InitialisePetsc
         0     0% 71.98%       36ms  0.76%  ompi_mpi_init
       9ms  0.19% 72.17%       36ms  0.76%  std::_Rb_tree::_Rb_tree
       1ms 0.021% 72.19%       36ms  0.76%  std::basic_filebuf::_M_convert_to_external
         0     0% 72.19%       36ms  0.76%  std::basic_filebuf::overflow
         0     0% 72.19%       36ms  0.76%  vtkDoubleArray::New
      35ms  0.74% 72.93%       35ms  0.74%  __GI___libc_write
         0     0% 72.93%       35ms  0.74%  _dl_start_user
         0     0% 72.93%       35ms  0.74%  std::__basic_file::xsputn
      35ms  0.74% 73.67%       35ms  0.74%  std::ostream::sentry::sentry
       1ms 0.021% 73.69%       34ms  0.72%  CellProliferativeTypesWriter::GetCellDataForVtkOutput
       3ms 0.063% 73.76%       34ms  0.72%  DistributedBoxCollection::~DistributedBoxCollection
       2ms 0.042% 73.80%       32ms  0.68%  <unknown>
       3ms 0.063% 73.86%       31ms  0.66%  Edge::Edge
      31ms  0.66% 74.52%       31ms  0.66%  Node::GetIndex
         0     0% 74.52%       31ms  0.66%  Node::SetRadius
         0     0% 74.52%       31ms  0.66%  vtkDataArray::ComputeRange
      31ms  0.66% 75.17%       31ms  0.66%  vtkObjectBase::vtkObjectBase
      30ms  0.63% 75.81%       30ms  0.63%  vtkObjectBase::Delete
         0     0% 75.81%       29ms  0.61%  Cell::GetCellId
       4ms 0.085% 75.89%       29ms  0.61%  VertexMeshWriter::GetNextElement
      29ms  0.61% 76.51%       29ms  0.61%  std::codecvt::do_always_noconv
       4ms 0.085% 76.59%       29ms  0.61%  tbb::detail::r1::cancel_group_execution
         0     0% 76.59%       29ms  0.61%  vtk::detail::smp::vtkSMPToolsImplForTBB
         0     0% 76.59%       28ms  0.59%  CellIdWriter::GetCellDataForVtkOutput
      28ms  0.59% 77.19%       28ms  0.59%  [libchaste_cell_based.so]
       3ms 0.063% 77.25%       28ms  0.59%  vtkDataArrayPrivate::DoComputeVectorRange
       1ms 0.021% 77.27%       27ms  0.57%  Cell::GetMutationState
