File: TestRepresentativePottsBasedOnLatticeSimulation
Type: cpu
Showing nodes accounting for 3827ms, 76.89% of 4977ms total
Dropped 782 nodes (cum <= 24.89ms)
      flat  flat%   sum%        cum   cum%
       3ms  0.06% 50.01%       95ms  1.91%  CellPropertyCollection::GetPropertiesType (inline)
      64ms  1.29% 51.30%       94ms  1.89%  std::basic_streambuf::xsputn
      48ms  0.96% 52.26%       91ms  1.83%  hack_digit
       1ms  0.02% 52.28%       90ms  1.81%  vtkIdList::Allocate
         0     0% 52.28%       87ms  1.75%  Cell::HasCellProperty (inline)
       1ms  0.02% 52.30%       87ms  1.75%  CellPropertyCollection::HasProperty
       7ms  0.14% 52.44%       86ms  1.73%  boost::numeric::ublas::c_vector::c_vector (partial-inline)
         0     0% 52.44%       85ms  1.71%  LegacyCellProliferativeTypesWriter::GetCellDataForVtkOutput
       5ms   0.1% 52.54%       83ms  1.67%  AbstractCellProperty::IsType (inline)
       2ms  0.04% 52.58%       83ms  1.67%  std::map::operator[] (partial-inline)
       2ms  0.04% 52.62%       82ms  1.65%  std::vector::push_back (inline)
      81ms  1.63% 54.25%       81ms  1.63%  unlink_chunk
      23ms  0.46% 54.71%       80ms  1.61%  vtkObject::Modified
       2ms  0.04% 54.75%       79ms  1.59%  AbstractCellProperty::IsSubType (inline)
       3ms  0.06% 54.81%       78ms  1.57%  _int_free_maybe_consolidate
      54ms  1.08% 55.90%       78ms  1.57%  vtkObjectBase::UnRegisterInternal
      19ms  0.38% 56.28%       77ms  1.55%  __dynamic_cast
         0     0% 56.28%       77ms  1.55%  boost::numeric::ublas::vector_assign (inline)
         0     0% 56.28%       74ms  1.49%  vtkXMLUnstructuredDataWriter::WriteCellsAppendedDataWorker
       7ms  0.14% 56.42%       71ms  1.43%  AbstractCellProperty::IsSame
       2ms  0.04% 56.46%       70ms  1.41%  vtkDoubleArray::~vtkDoubleArray
       2ms  0.04% 56.50%       68ms  1.37%  AbstractCellPopulation::GetCellUsingLocationIndex
      49ms  0.98% 57.48%       65ms  1.31%  std::_Hashtable::clear
      19ms  0.38% 57.87%       65ms  1.31%  std::_Rb_tree::_M_lower_bound (inline)
      10ms   0.2% 58.07%       65ms  1.31%  std::vector::_M_realloc_insert
       7ms  0.14% 58.21%       64ms  1.29%  std::type_info::operator== (inline)
         0     0% 58.21%       64ms  1.29%  tcache_get (inline)
      64ms  1.29% 59.49%       64ms  1.29%  tcache_get_n (inline)
         0     0% 59.49%       63ms  1.27%  std::map::~map (inline)
         0     0% 59.49%       62ms  1.25%  NodesOnlyMesh::~NodesOnlyMesh
       1ms  0.02% 59.51%       61ms  1.23%  vtkIdList::New
      18ms  0.36% 59.88%       60ms  1.21%  boost::numeric::ublas::indexing_vector_assign
       4ms  0.08% 59.96%       58ms  1.17%  VertexMeshWriter::GetNextNode
         0     0% 59.96%       57ms  1.15%  DifferentialAdhesionPottsUpdateRule::GetCellCellAdhesionEnergy
         0     0% 59.96%       56ms  1.13%  NodesOnlyMesh::SetUpBoxCollection
       3ms  0.06% 60.02%       56ms  1.13%  std::_Rb_tree::_M_insert_unique
         0     0% 60.02%       56ms  1.13%  std::set::insert (inline)
       2ms  0.04% 60.06%       54ms  1.08%  VertexMesh::Clear
      53ms  1.06% 61.12%       53ms  1.06%  vtkTimeStamp::Modified
       9ms  0.18% 61.30%       51ms  1.02%  vtkIdList::~vtkIdList
         0     0% 61.30%       50ms  1.00%  PottsMesh::GetMooreNeighbouringNodeIndices
       5ms   0.1% 61.40%       50ms  1.00%  vtkDataArray::vtkDataArray
      11ms  0.22% 61.62%       49ms  0.98%  std::num_put::_M_insert_int
         0     0% 61.62%       48ms  0.96%  Cell::GetCellProliferativeType
      48ms  0.96% 62.59%       48ms  0.96%  __memcpy_avx_unaligned_erms
         0     0% 62.59%       48ms  0.96%  vtkDataArray::ComputeRange
         0     0% 62.59%       47ms  0.94%  std::_Rb_tree::_Rb_tree_impl::_Rb_tree_impl (inline)
      47ms  0.94% 63.53%       47ms  0.94%  std::_Rb_tree_header::_M_reset (inline)
         0     0% 63.53%       47ms  0.94%  std::_Rb_tree_header::_Rb_tree_header (inline)
         0     0% 63.53%       47ms  0.94%  vtk::detail::smp::vtkSMPToolsImplForTBB
      46ms  0.92% 64.46%       46ms  0.92%  [libvtkCommonCore-9.3.so.9.3]
       4ms  0.08% 64.54%       46ms  0.92%  tbb::detail::r1::cancel_group_execution
      44ms  0.88% 65.42%       44ms  0.88%  vtkObjectBase::~vtkObjectBase
         0     0% 65.42%       43ms  0.86%  std::_Rb_tree::lower_bound (inline)
         0     0% 65.42%       43ms  0.86%  std::map::lower_bound (inline)
       5ms   0.1% 65.52%       43ms  0.86%  vtkAOSDataArrayTemplate::InsertTuple
       8ms  0.16% 65.68%       43ms  0.86%  vtkAbstractArray::vtkAbstractArray
      42ms  0.84% 66.53%       42ms  0.84%  std::ostream::sentry::sentry
      10ms   0.2% 66.73%       42ms  0.84%  vtkDataArray::~vtkDataArray
       8ms  0.16% 66.89%       42ms  0.84%  vtkSOADataArrayTemplate::FillTypedComponent
       1ms  0.02% 66.91%       41ms  0.82%  DistributedBoxCollection::IsOwned
       2ms  0.04% 66.95%       41ms  0.82%  std::_Rb_tree::_M_insert_ (inline)
      23ms  0.46% 67.41%       40ms   0.8%  DistributedBoxCollection::CalculateContainingBox (inline)
      20ms   0.4% 67.81%       40ms   0.8%  __cxxabiv1::__si_class_type_info::__do_dyncast
         0     0% 67.81%       39ms  0.78%  boost::numeric::ublas::c_vector::assign (inline)
       7ms  0.14% 67.95%       39ms  0.78%  vtkDataArrayPrivate::DoComputeVectorRange
         0     0% 67.95%       38ms  0.76%  _dl_init
         0     0% 67.95%       38ms  0.76%  _dl_start_user
         0     0% 67.95%       38ms  0.76%  call_init (inline)
         0     0% 67.95%       38ms  0.76%  std::_Rb_tree::_M_emplace_hint_unique
         0     0% 67.95%       38ms  0.76%  std::make_unique (inline)
      37ms  0.74% 68.70%       38ms  0.76%  vtkObjectBase::Delete
      38ms  0.76% 69.46%       38ms  0.76%  vtkObjectBase::vtkObjectBase
       6ms  0.12% 69.58%       37ms  0.74%  vtk::detail::smp::vtkSMPToolsImpl::For
         0     0% 69.58%       36ms  0.72%  PottsMesh::GetVonNeumannNeighbouringNodeIndices
      35ms   0.7% 70.28%       36ms  0.72%  vtkObject::~vtkObject
         0     0% 70.28%       35ms   0.7%  CxxTest::RealWorldDescription::setUp
       2ms  0.04% 70.32%       35ms   0.7%  Node::GetPoint
         0     0% 70.32%       35ms   0.7%  PMPI_Init_thread
         0     0% 70.32%       35ms   0.7%  PetscInitialize
         0     0% 70.32%       35ms   0.7%  PetscSetup::setUpWorld
         0     0% 70.32%       35ms   0.7%  PetscSetupUtils::CommonSetup
         0     0% 70.32%       35ms   0.7%  PetscSetupUtils::InitialisePetsc
       2ms  0.04% 70.36%       35ms   0.7%  boost::serialization::singleton::get_instance
         0     0% 70.36%       35ms   0.7%  ompi_mpi_init
         0     0% 70.36%       34ms  0.68%  std::_Destroy (inline)
         0     0% 70.36%       34ms  0.68%  std::_Destroy_aux::__destroy (inline)
       1ms  0.02% 70.38%       33ms  0.66%  DistributedBoxCollection::SetupLocalBoxesHalfOnly
       1ms  0.02% 70.40%       33ms  0.66%  VtkMeshWriter::MakeVtkMesh
         0     0% 70.40%       33ms  0.66%  boost::serialization::detail::singleton_wrapper::singleton_wrapper (inline)
         0     0% 70.40%       33ms  0.66%  std::basic_filebuf::open
       2ms  0.04% 70.44%       32ms  0.64%  Cell::GetMutationState
      32ms  0.64% 71.09%       32ms  0.64%  __GI___writev
         0     0% 71.09%       32ms  0.64%  std::__basic_file::xsputn_2
         0     0% 71.09%       32ms  0.64%  std::less::operator() (inline)
      32ms  0.64% 71.73%       32ms  0.64%  std::operator< (inline)
         0     0% 71.73%       31ms  0.62%  DistributedBoxCollection::~DistributedBoxCollection
         0     0% 71.73%       31ms  0.62%  NodesOnlyMesh::Clear (inline)
         0     0% 71.73%       31ms  0.62%  NodesOnlyMesh::ClearBoxCollection (inline)
       1ms  0.02% 71.75%       31ms  0.62%  _IO_new_fopen
      31ms  0.62% 72.37%       31ms  0.62%  boost::numeric::ublas::same_impl_ex
         0     0% 72.37%       31ms  0.62%  std::__basic_file::open
         0     0% 72.37%       31ms  0.62%  vtkDataArrayPrivate::DoComputeScalarRange
       2ms  0.04% 72.41%       30ms   0.6%  <unknown>
       1ms  0.02% 72.43%       30ms   0.6%  _IO_new_file_fopen
         0     0% 72.43%       30ms   0.6%  __fopen_internal (inline)
       2ms  0.04% 72.47%       30ms   0.6%  std::basic_filebuf::overflow
         0     0% 72.47%       29ms  0.58%  OutputFileHandler::OpenOutputFile
         0     0% 72.47%       29ms  0.58%  __GI__IO_file_open
      29ms  0.58% 73.06%       29ms  0.58%  __mpn_divrem
      29ms  0.58% 73.64%       29ms  0.58%  std::_Rb_tree_increment
      29ms  0.58% 74.22%       29ms  0.58%  std::codecvt::do_always_noconv
         0     0% 74.22%       28ms  0.56%  Cell::GetCellId
       5ms   0.1% 74.32%       28ms  0.56%  __find_specmb (inline)
      28ms  0.56% 74.88%       28ms  0.56%  __libc_open64
       1ms  0.02% 74.90%       28ms  0.56%  std::__basic_file::xsputn
         0     0% 74.90%       28ms  0.56%  std::basic_filebuf::_M_convert_to_external
         0     0% 74.90%       27ms  0.54%  Edge::Edge
         0     0% 74.90%       27ms  0.54%  Edge::SetNodes (inline)
       1ms  0.02% 74.92%       27ms  0.54%  VertexElement::~VertexElement
      27ms  0.54% 75.47%       27ms  0.54%  __GI___libc_write
      13ms  0.26% 75.73%       27ms  0.54%  _int_free_merge_chunk
       3ms  0.06% 75.79%       27ms  0.54%  boost::serialization::void_cast_detail::void_caster::recursive_register
         0     0% 75.79%       27ms  0.54%  boost::serialization::void_cast_detail::void_caster_primitive::void_caster_primitive (inline)
         0     0% 75.79%       27ms  0.54%  vtkDoubleArray::New
         0     0% 75.79%       25ms   0.5%  CellIdWriter::GetCellDataForVtkOutput
      25ms   0.5% 76.29%       25ms   0.5%  std::_Rb_tree_insert_and_rebalance
       5ms   0.1% 76.39%       25ms   0.5%  vtkAOSDataArrayTemplate::AllocateTuples
      25ms   0.5% 76.89%       25ms   0.5%  vtkDataArray::Modified
